campaign_name,effective_status
Justin - cardia Ins T2 R-V1 1307 – 3,PAUSED
Justin - cardia Ins T2 R-V1 1307 – 1,PAUSED
Justin - cardia T2 R-V1 1307 – 5,PAUSED
Justin - cardia T2 R-V1 1307 – 4,PAUSED
Justin - cardia T2 R-V1 1307 – 3,PAUSED
Justin - cardia T2 R-V1 1307 – 2,PAUSED
Justin - cardia T2 R-V1 1307,PAUSED
Eden_Blood_Global_ROAS_Max,ACTIVE
Justin - cardia R-V1 1307 8,PAUSED
Justin - cardia R-V1 1307 9,PAUSED
Justin - cardia R-V1 1307 7,PAUSED
Justin - cardia R-V1 1307 6,PAUSED
Justin - cardia R-V1 1307 5,PAUSED
Justin - cardia R-V1 1307 4,PAUSED
Justin - cardia R-V1 1307 3,PAUSED
Justin - cardia R-V1 1307 2,PAUSED
Justin - cardia R-V1 1307,PAUSED
AC_SAYA_US_TOP5_Install_META_140726,ACTIVE
Saya_US_HighVol_Install_140726_learna_s13_2,PAUSED
Saya_US_HighVol_Install_140726_learna_s12_2,ACTIVE
Saya_US_HighVol_Install_140726_learna_s11_2,PAUSED
Saya_US_HighVol_Install_140726_learna_s7_2,PAUSED
Saya_US_HighVol_Install_140726_learna_s1_2,PAUSED
Saya_US_HighVol_Install_140726_Creative_Eden,ACTIVE
Saya_US_HighVol_Install_140726_All_Creative_Crawl_BetterSpeak - Copy,PAUSED
Saya_US_HighVol_Install_140726_Learna_S8_CreativeOld,PAUSED
Saya_US_HighVol_Install_140726_Learna_S6_CreativeOld,PAUSED
Saya_US_HighVol_Install_140726_AllCreative,ACTIVE
Saya_US_HighVol_Install_140726_learna_s13,PAUSED
Saya_US_HighVol_Install_140726_learna_s12,PAUSED
Saya_US_HighVol_Install_140726_learna_s7,PAUSED
Saya_US_HighVol_Install_140726_learna_s6,PAUSED
Saya_US_HighVol_Install_140726_learna_s1,PAUSED
Saya_US_HighVol_Install_130726_learna_s11,PAUSED
Saya_US_CostCap_Install_130726_learna_AllCreative,PAUSED
Saya_US_CostCap_Install_130726_learna_s6,PAUSED
Saya_US_CostCap_Install_130726_learna_s7,PAUSED
Saya_US_CostCap_Install_130726_learna_s11,PAUSED
Saya_US_CostCap_Install_130726_learna_s13,PAUSED
Saya_US_CostCap_Install_130726_learna_s6,PAUSED
Saya_US_CostCap_Install_130726_learna_s12,PAUSED
AC_SAYA_LEARNA_US_S11B_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S1_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S13_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S12_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S11_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S7_Install_META_130726,PAUSED
AC_SAYA_US_EDEN_Install_META_120726,PAUSED
Say_US_Bidding_Install_120726_All_Creative_Crawl_LooraAI,PAUSED
Say_US_Bidding_Install_120726_All_Creative_Crawl_BetterSpeak,PAUSED
Say_US_Bidding_Install_120726_All_Creative_SAYA_S8_UGC_H1_IT_META_clean,PAUSED
AC_SAYA_US_S9_Install_META_110726,PAUSED
AC_SAYA_US_S7_Install_META_110726,PAUSED
AC_SAYA_US_S5_Install_META_110726,PAUSED
AC_SAYA_US_S3_Install_META_110726,PAUSED
AC_SAYA_US_S2_Install_META_110726,PAUSED
AC_SAYA_US_S1_Install_META_110726,PAUSED
AC_SAYA_US_S8_Install_META_110726,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S3,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S2,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S5,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S8,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S6,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S7,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S9,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S1,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S9,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S7,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S6,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S5,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S3,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S2,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S1,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S8,PAUSED
Eden_EnglishTutor_Global_Install_Max,PAUSED
Say_Global_Auto_Install_080726_All_Creative,PAUSED
Say_US_Auto_Install_080726_All,PAUSED
Say_Global_Auto_Install_080726_All,PAUSED
AC_SAYA_US_TOP5_Install_META_140726,ACTIVE
Saya_US_HighVol_Install_140726_learna_s13_2,PAUSED
Saya_US_HighVol_Install_140726_learna_s12_2,ACTIVE
Saya_US_HighVol_Install_140726_learna_s11_2,PAUSED
Saya_US_HighVol_Install_140726_learna_s7_2,PAUSED
Saya_US_HighVol_Install_140726_learna_s1_2,PAUSED
Saya_US_HighVol_Install_140726_Creative_Eden,ACTIVE
Saya_US_HighVol_Install_140726_All_Creative_Crawl_BetterSpeak - Copy,PAUSED
Saya_US_HighVol_Install_140726_Learna_S8_CreativeOld,PAUSED
Saya_US_HighVol_Install_140726_Learna_S6_CreativeOld,PAUSED
Saya_US_HighVol_Install_140726_AllCreative,ACTIVE
Saya_US_HighVol_Install_140726_learna_s13,PAUSED
Saya_US_HighVol_Install_140726_learna_s12,PAUSED
Saya_US_HighVol_Install_140726_learna_s7,PAUSED
Saya_US_HighVol_Install_140726_learna_s6,PAUSED
Saya_US_HighVol_Install_140726_learna_s1,PAUSED
Saya_US_HighVol_Install_130726_learna_s11,PAUSED
Saya_US_CostCap_Install_130726_learna_AllCreative,PAUSED
Saya_US_CostCap_Install_130726_learna_s6,PAUSED
Saya_US_CostCap_Install_130726_learna_s7,PAUSED
Saya_US_CostCap_Install_130726_learna_s11,PAUSED
Saya_US_CostCap_Install_130726_learna_s13,PAUSED
Saya_US_CostCap_Install_130726_learna_s6,PAUSED
Saya_US_CostCap_Install_130726_learna_s12,PAUSED
AC_SAYA_LEARNA_US_S11B_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S1_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S13_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S12_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S11_Install_META_130726,PAUSED
AC_SAYA_LEARNA_US_S7_Install_META_130726,PAUSED
AC_SAYA_US_EDEN_Install_META_120726,PAUSED
Say_US_Bidding_Install_120726_All_Creative_Crawl_LooraAI,PAUSED
Say_US_Bidding_Install_120726_All_Creative_Crawl_BetterSpeak,PAUSED
Say_US_Bidding_Install_120726_All_Creative_SAYA_S8_UGC_H1_IT_META_clean,PAUSED
AC_SAYA_US_S9_Install_META_110726,PAUSED
AC_SAYA_US_S7_Install_META_110726,PAUSED
AC_SAYA_US_S5_Install_META_110726,PAUSED
AC_SAYA_US_S3_Install_META_110726,PAUSED
AC_SAYA_US_S2_Install_META_110726,PAUSED
AC_SAYA_US_S1_Install_META_110726,PAUSED
AC_SAYA_US_S8_Install_META_110726,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S3,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S2,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S5,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S8,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S6,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S7,PAUSED
Say_US_Bidding_Install_110726_All_Creative_S9,ACTIVE
Say_US_Bidding_Install_110726_All_Creative_S1,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S9,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S7,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S6,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S5,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S3,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S2,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S1,PAUSED
Say_Global_Auto_Install_110726_All_Creative_S8,PAUSED
Eden_EnglishTutor_Global_Install_Max,PAUSED
Say_Global_Auto_Install_080726_All_Creative,PAUSED
Say_US_Auto_Install_080726_All,PAUSED
Say_Global_Auto_Install_080726_All,PAUSED
